Namnd,Av18/19,Av17/18,Av16/17,Av15/16,Av14/15,Av13/14,Av12/13,An18/19,An17/18,An16/17,An15/16,An14/15,An13/14,An12/13
Centralt,15 000 ,-15 000,18 250 ,9 000 ,9 000 ,3 000 ,3 000 ,8 617 ,5 906 ,12 012 ,11 033 ,4 637 ,4 542 , 0 
Styrelsen,15 000 ,10 000 ,2 500 ,1 000 ,1 000 , 0 , 0 ,1 401 ,11 840 ,1 723 , 976 , 789 , 0 , 0 
METAdorerna,10 000 ,7 500 ,2 750 , 500 ,1 000 , 0 , 0 ,1 073 ,4 740 ,1 981 , 0 , 181 , 0 , 0 
Näringslivsgruppen,10 000 ,5 000 ,2 500 ,4 000 ,4 000 ,4 000 ,4 000 , 0 , 0 , 0 , 0 , 0 ,2 038 , 0 
Medias Branschdag,10 000 ,7 500 ,10 500 , 0 , 0 , 0 , 0 ,2 767 , 0 , 0 , 0 , 0 , 0 , 0 
Mottagningen,30 000 ,25 000 ,29 950 ,8 000 ,6 400 , 0 , 0 ,18 114 , 0 , 0 , 0 ,4 056 , 0 , 0 
Klubbmästeriet,25 000 ,15 000 ,15 000 , 0 , 0 , 0 , 0 ,8 287 , 0 , 0 , 0 , 0 , 0 , 0 
Kommunikationsnämnden,10 000 ,10 000 ,2 500 ,1 000 ,1 000 , 500 , 500 ,3 439 ,11 670 ,3 047 , 0 , 0 , 0 , 0 
Studienämnden,5 000 ,5 000 ,3 250 ,1 000 ,1 000 , 500 , 500 , 0 ,5 352 , 952 , 900 , 0 , 97 , 0 
Valberedningen,5 000 ,5 000 ,2 500 ,1 000 ,1 000 , 150 , 150 ,1 650 ,3 511 ,1 431 , 852 , 519 , 0 , 0 
Fotogruppen,5 000 ,5 000 ,2 500 ,1 000 ,1 000 , 500 , 500 , 0 , 950 , 400 , 0 , 0 , 265 , 0 
Qulturnämnden,5 000 ,5 000 ,2 500 ,1 000 ,1 000 , 500 , 500 , 0 , 254 , 0 , 331 , 37 , 454 , 0 
Medielabbet,5 000 ,5 000 ,2 500 ,1 000 ,1 000 , 500 , 500 , 223 , 0 ,2 585 , 645 , 0 , 0 , 0 
Sånglederiet,5 000 ,5 000 ,2 500 ,1 000 ,1 000 , 500 , 0 ,2 460 , 0 ,2 585 , 645 , 0 , 210 , 0 
Spexmästeriet,5 000 ,5 000 ,2 500 ,1 000 ,1 000 , 500 , 500 , 727 ,1 094 , 0 , 0 , 978 , 598 , 0 
Idrottsnämnden,5 000 , 0 ,2 500 ,1 000 ,1 000 , 0 , 0 , 0 , 0 ,2 450 , 0 , 0 , 0 , 0 
Matlaget,5 000 ,5 000 ,2 500 ,1 000 ,1 000 , 500 , 0 ,1 111 ,3 776 , 0 , 0 , 0 , 374 , 0 
Spelnörderiet,5 000 ,5 000 ,2 500 ,1 000 ,1 000 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
Internationella nämnden,5 000 , 0 , 0 , 0 , 0 , 0 , 0 ,4 266 , 0 , 0 , 0 , 0 , 0 , 0 
METAspexet,5 000 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
Resultat,185 000 ,110 000 ,109 700 ,33 500 ,32 400 ,11 150 ,10 150 ,54 134 ,49 093 ,29 166 ,15 382 ,11 197 ,8 578 , 0 